Name,Start,Duration,TID,Category
MegaBlock generate topo,47.4582s,575.148 μs,457618,
MegaBlock mlp forward,47.4588s,542.231 μs,457618,
MegaBlock reorder and remove padding,47.4594s,153.840 μs,457618,
MegaSparse generate indices,47.4595s,464.098 μs,457618,
MegaSparse generate topo,47.46s,776.297 μs,457618,
MegaSparse mlp forward,47.4608s,215.058 μs,457618,
MoE route,47.461s,264.920 μs,457618,
MegaBlock generate indices,47.4613s,999.983 μs,457618,
MegaBlock padded and reorder tokens,47.4623s,231.594 μs,457618,
MegaBlock generate topo,47.4625s,632.645 μs,457618,
MegaBlock mlp forward,47.4632s,665.999 μs,457618,
MegaBlock reorder and remove padding,47.4638s,172.216 μs,457618,
MegaSparse generate indices,47.4641s,517.551 μs,457618,
MegaSparse generate topo,47.4646s,704.443 μs,457618,
MegaSparse mlp forward,47.4653s,1.002 ms,457618,
MoE route,47.4663s,681.146 μs,457618,
MegaBlock generate indices,47.467s,464.770 μs,457618,
MegaBlock padded and reorder tokens,47.4675s,236.165 μs,457618,
MegaBlock generate topo,47.4677s,591.516 μs,457618,
MegaBlock mlp forward,47.4683s,1.277 ms,457618,
MegaBlock reorder and remove padding,47.4696s,163.150 μs,457618,
MegaSparse generate indices,47.4698s,495.940 μs,457618,
MegaSparse generate topo,47.4703s,703.555 μs,457618,
MegaSparse mlp forward,47.471s,242.085 μs,457618,
MoE route,47.4713s,287.482 μs,457618,
MegaBlock generate indices,47.4715s,469.290 μs,457618,
MegaBlock padded and reorder tokens,47.472s,238.122 μs,457618,
MegaBlock generate topo,47.4723s,625.270 μs,457618,
MegaBlock mlp forward,47.4729s,574.312 μs,457618,
MegaBlock reorder and remove padding,47.4735s,161.657 μs,457618,
MegaSparse generate indices,47.4737s,497.240 μs,457618,
MegaSparse generate topo,47.4742s,724.931 μs,457618,
MegaSparse mlp forward,47.4749s,244.767 μs,457618,
MoE route,47.4752s,262.180 μs,457618,
MegaBlock generate indices,47.4754s,470.043 μs,457618,
MegaBlock padded and reorder tokens,47.4759s,230.895 μs,457618,
MegaBlock generate topo,47.4761s,625.762 μs,457618,
MegaBlock mlp forward,47.4768s,577.566 μs,457618,
MegaBlock reorder and remove padding,47.4773s,177.084 μs,457618,
MegaSparse generate indices,47.4776s,494.149 μs,457618,
MegaSparse generate topo,47.4781s,728.384 μs,457618,
MegaSparse mlp forward,47.4788s,232.542 μs,457618,
MoE route,47.479s,274.623 μs,457618,
MegaBlock generate indices,47.4793s,457.832 μs,457618,
MegaBlock padded and reorder tokens,47.4798s,243.841 μs,457618,
MegaBlock generate topo,47.48s,623.441 μs,457618,
MegaBlock mlp forward,47.4807s,576.047 μs,457618,
MegaBlock reorder and remove padding,47.4812s,160.686 μs,457618,
MegaSparse generate indices,47.4814s,493.549 μs,457618,
MegaSparse generate topo,47.4819s,712.518 μs,457618,
MegaSparse mlp forward,47.4826s,249.843 μs,457618,
