Name,Duration
MegaBlock padded and reorder tokens,227.710 μs
MegaBlock generate topo,608.490 μs
MegaBlock mlp forward,543.898 μs
MegaBlock reorder and remove padding,156.453 μs
MegaSparse generate indices,473.867 μs
MegaSparse generate topo,761.165 μs
MoE route,267.312 μs
MegaBlock generate indices,437.381 μs
MegaBlock padded and reorder tokens,267.218 μs
MegaBlock generate topo,623.461 μs
MegaBlock mlp forward,572.861 μs
MegaBlock reorder and remove padding,166.844 μs
MegaSparse generate indices,499.171 μs
MegaSparse generate topo,715.578 μs
MoE route,258.843 μs
MegaBlock generate indices,454.681 μs
MegaBlock padded and reorder tokens,213.405 μs
MegaBlock generate topo,639.626 μs
MegaBlock mlp forward,572.764 μs
MegaBlock reorder and remove padding,185.884 μs
MegaSparse generate indices,448.440 μs
MegaSparse generate topo,758.598 μs
MoE route,257.233 μs
MegaBlock generate indices,443.696 μs
MegaBlock padded and reorder tokens,218.129 μs
MegaBlock generate topo,610.298 μs
MegaBlock mlp forward,569.541 μs
MegaBlock reorder and remove padding,169.969 μs
MegaSparse generate indices,487.648 μs
MegaSparse generate topo,730.399 μs
MoE route,285.485 μs
MegaBlock generate indices,443.944 μs
MegaBlock padded and reorder tokens,213.558 μs
MegaBlock generate topo,575.781 μs
MegaBlock mlp forward,586.878 μs
MegaBlock reorder and remove padding,167.706 μs
MegaSparse generate indices,501.906 μs
MegaSparse generate topo,685.928 μs
MoE route,266.966 μs
MegaBlock generate indices,434.731 μs
MegaBlock padded and reorder tokens,226.335 μs
MegaBlock generate topo,579.305 μs
MegaBlock mlp forward,535.411 μs
MegaBlock reorder and remove padding,168.493 μs
MegaSparse generate indices,518.459 μs
MegaSparse generate topo,754.475 μs
MoE route,256.439 μs
MegaBlock generate indices,447.614 μs
MegaBlock padded and reorder tokens,215.580 μs
MegaBlock generate topo,581.741 μs
MegaBlock mlp forward,547.485 μs
MegaBlock reorder and remove padding,154.573 μs
MegaSparse generate indices,474.114 μs
MegaSparse generate topo,785.544 μs
MoE route,282.161 μs
MegaBlock generate indices,469.549 μs
MegaBlock padded and reorder tokens,220.542 μs
MegaBlock generate topo,581.673 μs
MegaBlock mlp forward,553.636 μs
MegaBlock reorder and remove padding,155.191 μs
MegaSparse generate indices,469.962 μs
MegaSparse generate topo,808.038 μs
MoE route,297.639 μs
